id,x_coord,y_coord,demand
0,166.96842973312988,49.27234918566441,0
1,20.959220873973948,10.897350393583217,2
2,148.92809633590355,15.373446086174969,1
3,72.10016725125715,98.42840333065112,2
4,71.86216756161438,27.156015371194865,1
5,121.84767612363035,89.71518866243714,2
6,78.75591021765027,16.423464552408472,2
7,81.81452197217973,13.235829473853045,2
8,101.98048191792128,31.73534026693193,2
9,142.02959866541468,30.74225588256224,1
10,192.10524504113346,42.20551867544007,2
11,91.32422178778745,33.09963908007663,1
12,85.5303042123218,56.807537292124685,1
13,22.69274022399408,9.528466156114845,2
14,43.57977386930483,79.79774848511883,2
15,191.49441381358346,26.865637047792813,1
16,188.670144080879,91.1414912922362,1
17,176.36485623129954,90.17439796658579,2
18,129.28211248067868,1.5857800351263829,2
19,42.76496242612171,85.36822459822598,2
20,127.36640276136784,67.5606173670055,1
21,27.829250396980697,3.768029232900816,1
22,91.74081406107251,30.894783282262328,1
23,174.77263703126366,56.424949201217224,1
24,51.690061173414726,59.40776294527924,2
25,132.9702195525063,68.08134077938226,1
26,172.53486720739187,63.24318250021735,1
27,29.769612608843786,93.87024895420674,2
28,112.58999163179465,73.71195927409809,2
29,31.83105276262954,74.48555100647624,1
30,34.57898531645982,10.888559529044084,1
31,20.804592198046223,49.36352725997194,1
32,40.58751860003342,86.67510360721748,1
33,91.03785934457758,1.8255107682951799,1
34,158.91498324564338,18.290372074056616,2
35,198.16453619615632,11.267987808523783,1
36,161.00344011609045,85.32976592118186,1
37,75.48308114328448,4.84541488022251,1
38,103.14748512436789,49.94288951602711,1
39,11.779784274415483,50.30898689918647,2
40,142.21913724060573,76.47271350558673,1
41,14.501562679527225,34.74789168890825,1
42,176.52231638597596,93.14189319064099,2
43,145.21156371331173,29.920591582202416,2
44,166.67324248835118,55.1129483776576,1
45,142.04613676592348,5.7555259597521164,1
46,139.48598364083836,59.53068024005256,1
47,186.0205606816345,64.30441510003101,1
48,176.3345497714566,74.11940325825867,1
49,18.994396659291613,9.891265041086882,2
50,91.29928344748049,34.47755932084347,1
